  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:07] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:08] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:09] "GET /favicon.ico HTTP/1.1" 404 -
 99.255.211.33 - - [16/Mar/2018 20:01:51] "GET / HTTP/1.1" 200 -
 99.255.211.33 - - [16/Mar/2018 20:01:51] "GET / HTTP/1.1" 200 -
 99.255.211.33 - - [16/Mar/2018 20:01:52] "GET / HTTP/1.1" 200 -
 99.255.211.33 - - [16/Mar/2018 20:03:19] "GET / HTTP/1.1" 200 -
 99.255.211.33 - - [16/Mar/2018 20:03:19] "GET /favicon.ico HTTP/1.1" 404 -
 99.255.211.33 - - [16/Mar/2018 20:03:19] "GET / HTTP/1.1" 200 -
 99.255.211.33 - - [16/Mar/2018 20:03:20] "GET /favicon.ico HTTP/1.1" 404 -
